"Name" "Team" "Position" "Height" "Weight" "Age" "PosCategory"
"1" "Adam_Donachie" "BAL" "Catcher" 74 180 22.99 "Catcher"
"2" "Paul_Bako" "BAL" "Catcher" 74 215 34.69 "Catcher"
"3" "Ramon_Hernandez" "BAL" "Catcher" 72 210 30.78 "Catcher"
"4" "Kevin_Millar" "BAL" "First_Baseman" 72 210 35.43 "Infielder"
"5" "Chris_Gomez" "BAL" "First_Baseman" 73 188 35.71 "Infielder"
"6" "Brian_Roberts" "BAL" "Second_Baseman" 69 176 29.39 "Infielder"
"7" "Miguel_Tejada" "BAL" "Shortstop" 69 209 30.77 "Infielder"
"8" "Melvin_Mora" "BAL" "Third_Baseman" 71 200 35.07 "Infielder"
"9" "Aubrey_Huff" "BAL" "Third_Baseman" 76 231 30.19 "Infielder"
"10" "Adam_Stern" "BAL" "Outfielder" 71 180 27.05 "Outfielder"
"11" "Jeff_Fiorentino" "BAL" "Outfielder" 73 188 23.88 "Outfielder"
"12" "Freddie_Bynum" "BAL" "Outfielder" 73 180 26.96 "Outfielder"
"13" "Nick_Markakis" "BAL" "Outfielder" 74 185 23.29 "Outfielder"
"14" "Brandon_Fahey" "BAL" "Outfielder" 74 160 26.11 "Outfielder"
"15" "Corey_Patterson" "BAL" "Outfielder" 69 180 27.55 "Outfielder"
"16" "Jay_Payton" "BAL" "Outfielder" 70 185 34.27 "Outfielder"
"18" "Erik_Bedard" "BAL" "Starting_Pitcher" 73 189 27.99 "Pitcher"
"19" "Hayden_Penn" "BAL" "Starting_Pitcher" 75 185 22.38 "Pitcher"
"20" "Adam_Loewen" "BAL" "Starting_Pitcher" 78 219 22.89 "Pitcher"
"21" "Daniel_Cabrera" "BAL" "Starting_Pitcher" 79 230 25.76 "Pitcher"
"22" "Steve_Trachsel" "BAL" "Starting_Pitcher" 76 205 36.33 "Pitcher"
"23" "Jaret_Wright" "BAL" "Starting_Pitcher" 74 230 31.17 "Pitcher"
"24" "Kris_Benson" "BAL" "Starting_Pitcher" 76 195 32.31 "Pitcher"
"25" "Scott_Williamson" "BAL" "Relief_Pitcher" 72 180 31.03 "Pitcher"
"26" "John_Parrish" "BAL" "Relief_Pitcher" 71 192 29.26 "Pitcher"
"27" "Danys_Baez" "BAL" "Relief_Pitcher" 75 225 29.47 "Pitcher"
"28" "Chad_Bradford" "BAL" "Relief_Pitcher" 77 203 32.46 "Pitcher"
"29" "Jamie_Walker" "BAL" "Relief_Pitcher" 74 195 35.67 "Pitcher"
"30" "Brian_Burres" "BAL" "Relief_Pitcher" 73 182 25.89 "Pitcher"
"31" "Kurt_Birkins" "BAL" "Relief_Pitcher" 74 188 26.55 "Pitcher"
"32" "James_Hoey" "BAL" "Relief_Pitcher" 78 200 24.17 "Pitcher"
"33" "Sendy_Rleal" "BAL" "Relief_Pitcher" 73 180 26.69 "Pitcher"
"34" "Chris_Ray" "BAL" "Relief_Pitcher" 75 200 25.13 "Pitcher"
"35" "Jeremy_Guthrie" "BAL" "Relief_Pitcher" 73 200 27.9 "Pitcher"
"36" "A.J._Pierzynski" "CWS" "Catcher" 75 245 30.17 "Catcher"
"37" "Toby_Hall" "CWS" "Catcher" 75 240 31.36 "Catcher"
